programme_title,programme_url,year_or_group,module_name,module_code,nqf_level,credits,pdf_url,pdf_local_path
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Academic Writing 171,ACW171,5,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Academic-Writing-171-ACW171.pdf,kb_output\pdfs\Academic-Writing-171-ACW171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Computer Architecture 171,COA171,5,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Computer-Architecture-171-COA171.pdf,kb_output\pdfs\Computer-Architecture-171-COA171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Database Development 171,DBD171,5,12,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Database-Development-171-DBD171.pdf,kb_output\pdfs\Database-Development-171-DBD171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,English Communication 171,ENG171,5,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/English-Communication-171-ENG171.pdf,kb_output\pdfs\English-Communication-171-ENG171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Information Systems 171,INF171,5,12,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Information-Systems-171-INF171.pdf,kb_output\pdfs\Information-Systems-171-INF171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Innovation and Leadership 101,INL101,5,5,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Innovation-and-Leadership-101-INL101-1.pdf,kb_output\pdfs\Innovation-and-Leadership-101-INL101-1.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Innovation and Leadership 102,INL102,5,5,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Innovation-and-Leadership-102-INL102.pdf,kb_output\pdfs\Innovation-and-Leadership-102-INL102.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Mathematics 171,MAT171,5,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Mathematics-171-MAT171.pdf,kb_output\pdfs\Mathematics-171-MAT171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Networking Development 171,NWD171,5,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Network-Development-171-NWD171.pdf,kb_output\pdfs\Network-Development-171-NWD171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Programming 171,PRG171,5,16,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Programming-171-PRG171.pdf,kb_output\pdfs\Programming-171-PRG171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Programming 172,PRG172,5,9,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Programming-172-PRG172.pdf,kb_output\pdfs\Programming-172-PRG172.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Statistics 171,STA171,5,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Statistics-171-STA171.pdf,kb_output\pdfs\Statistics-171-STA171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Web Programming 171,WPR171,5,13,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Web-Programming-171-WPR171.pdf,kb_output\pdfs\Web-Programming-171-WPR171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Business Management 171,BUM171,5,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Business-Management-171-BUM171.pdf,kb_output\pdfs\Business-Management-171-BUM171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Entrepreneurship 171,ENT171,5,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Entrepreneurship-171-ENT171.pdf,
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Cloud-Native Application Architecture 271,CNA271,6,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Cloud-Native-Application-Architecture-271-CNA271.pdf,kb_output\pdfs\Cloud-Native-Application-Architecture-271-CNA271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Database Development 221,DBD221,6,15,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Database-Development-271-DBD271.pdf,kb_output\pdfs\Database-Development-271-DBD271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Enterprise Systems 271,ERP271,6,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Enterprise-Systems-271-ERP271.pdf,kb_output\pdfs\Enterprise-Systems-271-ERP271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Ethics 271,ETH271,6,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Ethics-271-ETH271.pdf,kb_output\pdfs\Ethics-271-ETH271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Information Systems 271,INF271,6,12,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Information-Systems-271-INF271.pdf,kb_output\pdfs\Information-Systems-271-INF271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Innovation and Leadership 201,INL201,6,5,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Innovation-and-Leadership-201-INL201.pdf,kb_output\pdfs\Innovation-and-Leadership-201-INL201.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Innovation and Leadership 202,INL202,6,5,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Innovation-and-Leadership-202-INL202.pdf,kb_output\pdfs\Innovation-and-Leadership-202-INL202.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Linear Programming 171,LPR171,6,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Linear-Programming-171-LPR171.pdf,kb_output\pdfs\Linear-Programming-171-LPR171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Programming 271,PRG271,6,13,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Programming-271-PRG271.pdf,kb_output\pdfs\Programming-271-PRG271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Programming 272,PRG272,6,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Programming-272-PRG272.pdf,kb_output\pdfs\Programming-272-PRG272.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Project Management 271,PMM271,6,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Project-Management-271-PMM271.pdf,kb_output\pdfs\Project-Management-271-PMM271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Statistics 271,STA271,6,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Software-Testing-271-SWT271.pdf,kb_output\pdfs\Software-Testing-271-SWT271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Web Programming 271,WPR271,6,10,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Web-Programming-271-WPR271.pdf,kb_output\pdfs\Web-Programming-271-WPR271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Internet Of Things 271,IOT271,6,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Internet-of-Things-271-IOT271.pdf,kb_output\pdfs\Internet-of-Things-271-IOT271.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Software Testing 271,SWT271,6,8,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Software-Testing-271-SWT271-1.pdf,kb_output\pdfs\Software-Testing-271-SWT271-1.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Business Intelligence 371,BIN371,7,10,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Business-Intelligence-371-BIN371.pdf,kb_output\pdfs\Business-Intelligence-371-BIN371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Cloud-Native Application Programming 371,CNA371,7,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Cloud-Native-Application-Programming-371-CNA371.pdf,kb_output\pdfs\Cloud-Native-Application-Programming-371-CNA371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Data Analytics 371,DAL371,7,14,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Data-Analytics-371-DAL371.pdf,kb_output\pdfs\Data-Analytics-371-DAL371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Database Development 371,DBD371,7,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Database-Development-371-DBD371.pdf,kb_output\pdfs\Database-Development-371-DBD371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Innovation and Leadership 371,INL371,7,5,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Innovation-and-Leadership-371-INL371.pdf,kb_output\pdfs\Innovation-and-Leadership-371-INL371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Programming 371,PRG371,7,9,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Programming-371-PRG371.pdf,kb_output\pdfs\Programming-371-PRG371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Project 371,PRJ371,7,17,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Project-371-PRJ371.pdf,kb_output\pdfs\Project-371-PRJ371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Project Management 371,PMM371,7,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Project-Management-371-PMM371.pdf,kb_output\pdfs\Project-Management-371-PMM371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Software Analysis & Design 371,SAD371,7,14,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Software-Analysis-and-Design-371-SAD371.pdf,kb_output\pdfs\Software-Analysis-and-Design-371-SAD371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Software Engineering 371,SEN371,7,16,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Software-Engineering-371-SEN371.pdf,kb_output\pdfs\Software-Engineering-371-SEN371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Web Programming 371,WPR371,7,9,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Web-Programming-371-WPR371.pdf,kb_output\pdfs\Web-Programming-371-WPR371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Innovation Management 371,INM371,7,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Innovation-Management-371-INM371.pdf,kb_output\pdfs\Innovation-Management-371-INM371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,User Experience Design 371,UAX371,7,11,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/User-Experience-Design-371-UXD371.pdf,kb_output\pdfs\User-Experience-Design-371-UXD371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Academic Writing 171,ACW171,5,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Academic-Writing-171-ACW171.pdf,kb_output\pdfs\Academic-Writing-171-ACW171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Computer Architecture 171,COA171,5,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Computer-Architecture-171-COA171.pdf,kb_output\pdfs\Computer-Architecture-171-COA171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Database Development 171,DBD171,5,12,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Database-Development-171-DBD171.pdf,kb_output\pdfs\Database-Development-171-DBD171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,English Communication 171,ENG171,5,7,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/English-Communication-171-ENG171.pdf,kb_output\pdfs\English-Communication-171-ENG171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Information Systems 171,INF171,5,12,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Information-Systems-171-INF171.pdf,kb_output\pdfs\Information-Systems-171-INF171.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Innovation and Leadership 101,INL101,5,5,https://www.belgiumcampus.ac.za/wp-content/uploads/2022/07/Innovation-and-Leadership-101-INL101-1.pdf,kb_output\pdfs\Innovation-and-Leadership-101-INL101-1.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,Innovation and Leadership 102,INL102,5,5,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/Innovation-and-Leadership-102-INL102.pdf,kb_output\pdfs\Innovation-and-Leadership-102-INL102.pdf
